Category,EncodingMethods,Dataset,Qubits/Features,Accuracy,AUC,Precision,Recall,F1-Score,ResourceCost,CES
Quantum,iqp,iris,8,0.5333,0.625,0.4,0.8,0.5333,0.1675,0.7423
Quantum,basis,iris,8,0.5667,0.74,0.4,0.6,0.48,0.1675,0.7998
Quantum,bphe,iris,8,0.3,0.625,0.3103,0.9,0.4615,0.1676,0.7422
Quantum,amplitude,iris,8,0.2333,0.0,0.0,0.0,0.0,0.1675,0.4298
Quantum,iqp,cancer,8,0.5351,0.5909,0.6792,0.5,0.576,0.1675,0.7252
Quantum,basis,cancer,8,0.4211,0.4459,0.5714,0.3333,0.4211,0.1675,0.6527
Quantum,bphe,cancer,8,0.4912,0.4034,0.5814,0.6944,0.6329,0.1676,0.6314
Quantum,amplitude,cancer,8,0.6316,0.5873,0.6316,1.0,0.7742,0.1675,0.7234
Quantum,iqp,mnist_4vs9,16,0.5223,0.5184,0.5274,0.5187,0.523,0.3201,0.6431
Quantum,basis,mnist_4vs9,16,0.5227,0.48,0.5266,0.5402,0.5333,0.3201,0.6239
Quantum,bphe,mnist_4vs9,16,0.5618,0.5967,0.5891,0.4368,0.5017,0.3203,0.6823
Quantum,amplitude,mnist_4vs9,16,0.5053,0.3364,0.5051,1.0,0.6712,0.3201,0.5522
Classical,LogReg,iris,8,1.0,1.0,1.0,1.0,1.0,0.1661,0.9302
Classical,LinearSVM,iris,8,1.0,1.0,1.0,1.0,1.0,0.1661,0.9302
Classical,RandomForest,iris,8,1.0,1.0,1.0,1.0,1.0,0.4501,0.845
Classical,MLP,iris,8,0.7,0.65,1.0,0.1,0.1818,0.5697,0.6341
Classical,LogReg,cancer,8,0.9474,0.9934,0.9231,1.0,0.96,0.1661,0.9269
Classical,LinearSVM,cancer,8,0.9474,0.9947,0.9342,0.9861,0.9595,0.1661,0.9275
Classical,RandomForest,cancer,8,0.9123,0.9866,0.9559,0.9028,0.9286,0.6327,0.7835
Classical,MLP,cancer,8,0.6316,0.5995,0.6316,1.0,0.7742,0.5697,0.6089
Classical,LogReg,mnist_4vs9,16,0.9362,0.9824,0.9337,0.9404,0.937,0.2085,0.9087
Classical,LinearSVM,mnist_4vs9,16,0.9456,0.9846,0.9507,0.9411,0.9458,0.2085,0.9098
Classical,RandomForest,mnist_4vs9,16,0.9583,0.9908,0.961,0.9562,0.9586,0.8418,0.7229
Classical,MLP,mnist_4vs9,16,0.9601,0.9902,0.9755,0.9447,0.9599,0.5822,0.8004
